שם רחוב,שכונה עירונית,שכונה סטטיסטית,מזרח/מערב,קו רוחב,קו אורך
1,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.789675,35.259398
א שייח' סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.778554,35.245463
אבו צוואנה,א-טור,"הר הזיתים, א טור",מזרח,31.781618,35.249011
אל אוסתאד תמאם,א-טור,"הר הזיתים, א טור",מזרח,31.782813,35.25533
אל אוסתאד תמאם סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.782964,35.254695
אל אוסתאד תמאם סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.781764,35.253387
אל אוסתאד תמאם סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.782734,35.252599
אל אוסתאד תמאם סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.78155,35.252629
אל אוסתאד תמאם סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.781802,35.25186
אל אוסתאד תמאם סמטה 9,א-טור,"הר הזיתים, א טור",מזרח,31.78143,35.251373
אל אוסתאד' תמאם סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.782701,35.251476
אל אזאעה,א-טור,"הר הזיתים, א טור",מזרח,31.782967,35.246527
אל ח'לה,א-טור,"הר הזיתים, א טור",מזרח,31.784045,35.248283
אל ח'לה סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.784064,35.2498
אל ח'לה סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.783104,35.247198
אל ח'לה סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.783259,35.249696
אל ח'לה סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.781848,35.247793
אל ח'לה סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.783344,35.248946
אל ח'לה סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.783138,35.248083
אל ח'לה סמטה 9,א-טור,"הר הזיתים, א טור",מזרח,31.780752,35.249208
אל חרדוב,א-טור,"הר הזיתים, א טור",מזרח,31.780206,35.252058
אל חרדוב סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.780374,35.250348
אל חרדוב סמטה 10,א-טור,"הר הזיתים, א טור",מזרח,31.779518,35.252864
אל חרדוב סמטה 12,א-טור,"הר הזיתים, א טור",מזרח,31.779235,35.254595
אל חרדוב סמטה 13,א-טור,"הר הזיתים, א טור",מזרח,31.781018,35.25702
אל חרדוב סמטה 16,א-טור,"הר הזיתים, א טור",מזרח,31.780174,35.257052
אל חרדוב סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.779723,35.250811
אל חרדוב סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.780426,35.252005
אל חרדוב סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.779749,35.25153
אל חרדוב סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.780402,35.252479
אל חרדוב סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.779847,35.251884
אל חרדוב סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.780748,35.252861
אל חרדוב סמטה 8,א-טור,"הר הזיתים, א טור",מזרח,31.779803,35.25264
אל חרדוב סמטה 9,א-טור,"הר הזיתים, א טור",מזרח,31.780718,35.254136
אל מנסוריה,א-טור,,מזרח,31.780315,35.243707
אל סהל אל ג'דיד,א-טור,"הר הזיתים, א טור",מזרח,31.783184,35.250158
אל סהל אל ג'דיד סמטה 10,א-טור,"הר הזיתים, א טור",מזרח,31.78069,35.250585
אל סהל אל ג'דיד סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.784038,35.251861
אל סהל אל ג'דיד סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.782985,35.250449
אל סהל אל ג'דיד סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.781896,35.249314
אל סהל אל ג'דיד סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.781661,35.250449
אל סהל אל ג'דיד סמטה 8,א-טור,"הר הזיתים, א טור",מזרח,31.781519,35.24962
אל צוואנה,א-טור,,מזרח,31.782101,35.242813
אל קמה,א-טור,"הר הזיתים, א טור",מזרח,31.785607,35.25346
בית פאגי,א-טור,"הר הזיתים, א טור",מזרח,31.779008,35.25006
דבה,א-טור,"הר הזיתים, א טור",מזרח,31.779252,35.25314
דבה סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.778824,35.251426
דבה סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.77886,35.252918
דרך א טור שמואל בן עדיה,א-טור,"הר הזיתים, א טור",מזרח,31.784841,35.247218
דרך מנהרת הר הצופים,א-טור,"הר הזיתים, א טור",מזרח,31.785786,35.259089
הדרה,א-טור,"הר הזיתים, א טור",מזרח,31.787667,35.252974
הדרה סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.785564,35.25209
ח'לת אל עין,א-טור,"הר הזיתים, א טור",מזרח,31.785654,35.254288
ח'לת אל עין סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.787398,35.254368
ח'לת אל עין סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.786013,35.255463
ח'לת אל עין סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.786577,35.255528
ח'לת אל עין סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.786639,35.256974
ח'לת אל עין סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.787518,35.255938
ח'לת אל עין סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.789948,35.255798
חמוש,א-טור,"הר הזיתים, א טור",מזרח,31.781101,35.256626
חמוש סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.782872,35.25648
חמוש סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.782177,35.255696
חמוש סמטה 5,א-טור,"הר הזיתים, א טור",מזרח,31.782175,35.255371
יציאה לדרך מנהרת הר הצופים,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.787334,35.258691
יציאה לכביש 1 מערב,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.786361,35.260013
יציאה למחלף הזיתים,א-טור,"שכ חבאיל חמדן, שכ בטאנה, עיסוויה",מזרח,31.787535,35.259976
סולימן אל פרסי,א-טור,"הר הזיתים, א טור",מזרח,31.779889,35.249198
סולימן אל פרסי סמטה 1,א-טור,"הר הזיתים, א טור",מזרח,31.780661,35.248023
סולימן אל פרסי סמטה 3,א-טור,"הר הזיתים, א טור",מזרח,31.780008,35.248968
סולימן אל פרסי סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.779738,35.248552
סולימן אל פרסי סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.779331,35.249012
סולימן אל פרסי סמטה 8,א-טור,"הר הזיתים, א טור",מזרח,31.779516,35.249575
ראבעה אל עדוויה סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.783883,35.246894
ראבעה אל עדוויה סמטה 4,א-טור,"הר הזיתים, א טור",מזרח,31.782405,35.245509
ראבעה אל עדוויה סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.780835,35.245305
ראבעה אל עדוויה סמטה 7,א-טור,"הר הזיתים, א טור",מזרח,31.778999,35.246085
רבעה אל עדוויה,א-טור,"הר הזיתים, א טור",מזרח,31.779891,35.245955
שייח ענבר סמטה 10,א-טור,"הר הזיתים, א טור",מזרח,31.783773,35.25617
שייח ענבר סמטה 11,א-טור,"הר הזיתים, א טור",מזרח,31.785184,35.256369
שייח ענבר סמטה 12,א-טור,"הר הזיתים, א טור",מזרח,31.782708,35.257058
שייח ענבר סמטה 2,א-טור,"הר הזיתים, א טור",מזרח,31.784571,35.246865
שייח ענבר סמטה 6,א-טור,"הר הזיתים, א טור",מזרח,31.784038,35.252438
